net,length_um
reg_file.registers\[5\]\[26\],7.18
_0858_,7.14
_1352_,7.12
_0432_,7.1
_0580_,7.1
_1096_,7.1
_1195_,7.1
_1308_,7.1
_1339_,7.1
reg_file.registers\[15\]\[15\],7.1
_0684_,7
_1477_,6.98
display.counter\[12\],6.94
display.counter\[17\],6.92
_1062_,6.9
_1418_,6.9
_0253_,6.88
_0846_,6.86
_0310_,6.76
_0433_,6.76
_0451_,6.76
_0582_,6.76
_0771_,6.76
_0197_,6.74
_0298_,6.72
_0324_,6.72
_0707_,6.72
_1177_,6.72
_1143_,6.66
_0205_,6.64
_0276_,6.64
_0924_,6.64
_0962_,6.64
_1314_,6.64
_0835_,6.62
_1476_,6.62
display.counter\[6\],6.62
_0456_,6.6
_0466_,6.6
_0874_,6.6
_1114_,6.6
_1228_,6.6
_1348_,6.6
reg_file.registers\[15\]\[25\],6.6
net11,6.6
_0128_,6.57
_0475_,6.52
_1248_,6.52
_1457_,6.52
imem.address\[23\],6.52
imem.address\[9\],6.52
reg_file.registers\[2\]\[3\],6.52
_0885_,6.5
_0312_,6.48
imem.address\[12\],6.475
_1433_,6.46
_0017_,6.425
reg_file.registers\[15\]\[17\],6.4
reg_file.registers\[15\]\[18\],6.4
_0080_,6.38
_0224_,6.38
_0238_,6.38
_0265_,6.38
reg_file.registers\[15\]\[6\],6.38
_1029_,6.32
_0597_,6.3
_1217_,6.3
_1431_,6.28
_0030_,6.26
_0194_,6.26
_0268_,6.26
_0368_,6.26
_0733_,6.26
_1261_,6.26
_1345_,6.23
_0788_,6.2
_0439_,6.18
_1416_,6.18
_0852_,6.14
_0887_,6.14
_1048_,6.14
_1109_,6.14
_1467_,6.14
_0900_,6.08
_0157_,6.06
_0554_,6.06
_0732_,6.06
reg_file.registers\[15\]\[26\],6.06
_0282_,6.02
_0988_,6.02
_1031_,5.98
_0142_,5.95
_0261_,5.94
_0284_,5.92
_0679_,5.9
net39,5.9
_0952_,5.885
_0935_,5.86
_0995_,5.845
_1115_,5.84
_1269_,5.84
_0623_,5.82
reg_file.registers\[15\]\[2\],5.82
_0074_,5.8
_0160_,5.8
_0300_,5.8
_0366_,5.8
_0651_,5.8
_0970_,5.8
_1131_,5.8
reg_file.registers\[15\]\[31\],5.8
_1282_,5.78
_1349_,5.77
_1018_,5.765
_0812_,5.74
_1188_,5.74
_1355_,5.74
_0247_,5.72
_0409_,5.72
_0420_,5.72
_0773_,5.72
_1391_,5.72
_1445_,5.72
_0765_,5.695
_0371_,5.68
_1021_,5.68
_1162_,5.68
seg[4],5.65
_0966_,5.62
_0505_,5.6
_0779_,5.6
_1478_,5.6
_1106_,5.59
_0359_,5.58
imem.address\[8\],5.58
_0132_,5.56
_0176_,5.56
_0218_,5.5
_0712_,5.5
reg_file.registers\[5\]\[30\],5.48
_0814_,5.46
_0996_,5.46
_0365_,5.445
_0111_,5.43
_0175_,5.43
_1358_,5.4
_0293_,5.38
_0319_,5.38
_0334_,5.38
_0804_,5.38
_0862_,5.38
_1292_,5.38
reg_file.registers\[15\]\[24\],5.38
reg_file.registers\[5\]\[22\],5.38
_0452_,5.34
_0749_,5.34
_0880_,5.34
_1105_,5.34
_1294_,5.34
_0090_,5.33
an[0],5.31
an[2],5.31
an[4],5.31
an[6],5.31
seg[6],5.31
_0023_,5.305
seg[3],5.29
_0587_,5.28
_1222_,5.28
_0361_,5.265
_0201_,5.26
_0425_,5.26
_0590_,5.26
_0693_,5.26
reg_file.registers\[15\]\[9\],5.26
_0210_,5.24
_0336_,5.225
_0369_,5.22
_0441_,5.22
_1229_,5.22
_1320_,5.22
net35,5.22
_0790_,5.16
_0027_,5.14
_0621_,5.14
_1034_,5.14
_1013_,5.13
_0040_,5.1
_0091_,5.1
_0172_,5.1
_0246_,5.04
_0287_,5.04
_0308_,5.04
_0843_,5.04
_0916_,5.04
_0528_,5.02
reg_file.registers\[15\]\[12\],5.02
reg_file.registers\[15\]\[19\],5.02
reg_file.registers\[5\]\[0\],5.02
_0101_,5
_0181_,5
_0058_,4.99
_0018_,4.985
_0116_,4.97
control,4.95
_0564_,4.94
_0136_,4.93
_0274_,4.92
_0316_,4.92
_1154_,4.92
_1160_,4.92
_1475_,4.92
display.counter\[8\],4.9
_0007_,4.895
_0161_,4.88
_0454_,4.88
_0821_,4.88
_1037_,4.88
_1180_,4.88
_1238_,4.88
_0578_,4.82
_1359_,4.82
_0001_,4.805
_0242_,4.8
_0841_,4.8
_0984_,4.8
_1057_,4.8
_1146_,4.8
_1307_,4.8
_1344_,4.8
net21,4.8
_0108_,4.78
_0149_,4.76
_0220_,4.76
_0412_,4.76
_0437_,4.76
_0455_,4.76
_0457_,4.76
_0561_,4.76
_0869_,4.76
_1038_,4.76
_1054_,4.76
_1288_,4.76
net13,4.76
_0134_,4.68
_0214_,4.68
_0217_,4.68
_0434_,4.68
_0460_,4.66
_0809_,4.66
_0020_,4.625
seg[0],4.61
seg[2],4.61
_0837_,4.6
_1095_,4.6
_1135_,4.6
_0200_,4.58
_0294_,4.58
_0993_,4.58
display.counter\[15\],4.56
_0182_,4.54
_0219_,4.54
_0896_,4.54
_0117_,4.53
_1128_,4.48
_0113_,4.46
_0207_,4.46
_0269_,4.46
_0292_,4.46
_0335_,4.46
_1092_,4.46
_1136_,4.46
_1173_,4.46
_1196_,4.46
_1240_,4.46
_0435_,4.42
_0459_,4.42
_0613_,4.42
_1216_,4.42
_1231_,4.42
_1357_,4.395
_0859_,4.36
_1170_,4.36
_1210_,4.36
display.counter\[3\],4.36
_0453_,4.34
_0748_,4.34
net6,4.34
net8,4.34
_0083_,4.27
_0180_,4.27
_0187_,4.22
_0221_,4.22
_0254_,4.22
_1192_,4.22
_1199_,4.22
_1244_,4.2
_0025_,4.165
_0065_,4.15
_0087_,4.15
_0124_,4.15
_1058_,4.14
_0248_,4.12
_0252_,4.12
_0326_,4.12
_0653_,4.12
_0084_,4.08
_0480_,4.08
_0184_,4.05
_1155_,4.02
_1413_,4.02
_0232_,4
_0239_,4
_0240_,4
_0279_,4
_0458_,4
_0696_,4
_0763_,4
_0888_,4
_1191_,4
_1250_,4
_1268_,4
_1374_,4
reg_file.registers\[15\]\[4\],4
net27,4
_1080_,3.98
an[1],3.93
an[3],3.93
an[5],3.93
an[7],3.93
seg[5],3.93
_0013_,3.925
_1142_,3.9
_1165_,3.9
_1317_,3.9
_0321_,3.88
_0483_,3.88
_0925_,3.88
_1026_,3.88
_1060_,3.88
_1091_,3.88
_1252_,3.88
_1279_,3.88
_1312_,3.88
_1356_,3.88
reg_file.registers\[15\]\[10\],3.88
_0006_,3.865
_0215_,3.845
_0014_,3.805
_0003_,3.78
_1226_,3.78
_0088_,3.76
_0199_,3.76
_0251_,3.76
_0029_,3.69
_0047_,3.69
